kerry washington
nicole kidman
jessica lange
salma hayek
jessica chastain
halle berry
sofia vergara
estelle getty
anne hathaway
tina fey
daniel craig
george clooney
ryan seacrest
kate hudson
lucy liu
halle berry
jennifer lawrence
perez hilton
katy perry
jessica alba
claire danes
scott alexander
steve mcqueen
robert verdi
sienna miller
jennifer lopez
cate blanchett
zoe kravitz
beanie feldstein
joey king
margot robbie
kirsten dunst
phoebe waller-bridge
helen mirren
awkwafina dior
saoirse ronan
zosia mamet
lana del rey
julianne moore
lena dunham
tina fey
laura prepon
felicity jones
melissa mcCarthy
keira knightley
tiziana rocca
phoebe waller-bridge
Darren Criss
amber heard
Lucy Boynton
